,user_id,order_frequency_per_week
0,21821,6.0
1,20331,1.0
2,7268,0.0
3,7841,2.0
4,18560,1.0
5,13664,1.0
6,24776,0.0
7,17792,1.0
8,4136,6.0
9,11797,6.0
10,2897,1.0
11,28665,0.0
12,23390,1.0
13,27401,2.0
14,5033,0.0
15,11387,4.0
16,295,1.0
17,20616,0.0
18,21171,4.0
19,20225,0.0
20,26312,0.0
21,28168,5.0
22,24744,1.0
23,23812,0.0
24,21441,6.0
25,12297,0.0
26,14177,0.0
27,23624,0.0
28,23198,5.0
29,25602,0.0
30,21056,7.0
31,18658,6.0
32,11780,0.0
33,28306,5.0
34,28428,0.0
35,205,0.0
36,28243,0.0
37,2115,0.0
38,9357,0.0
39,5750,0.0
40,14714,0.0
41,14155,0.0
42,22191,1.0
43,12374,4.0
44,6330,0.0
45,22079,0.0
46,17091,3.0
47,653,1.0
48,3976,1.0
49,2834,2.0
50,28186,0.0
51,4887,3.0
52,25609,4.0
53,1223,2.0
54,10667,3.0
55,8203,0.0
56,6954,0.0
57,12455,0.0
58,13437,5.0
59,17526,0.0
60,3147,0.0
61,19999,0.0
62,22041,0.0
63,14490,4.0
64,25673,0.0
65,15292,0.0
66,18670,10.0
67,27009,0.0
68,1999,1.0
69,12201,0.0
70,25929,0.0
71,18436,1.0
72,21047,0.0
73,6665,0.0
74,20477,4.0
75,9177,6.0
76,7908,0.0
77,13967,0.0
78,4263,5.0
79,6195,3.0
80,5984,0.0
81,15935,0.0
82,24594,0.0
83,12495,0.0
84,2466,0.0
85,4177,1.0
86,27520,1.0
87,12383,5.0
88,4146,0.0
89,13115,0.0
90,28459,0.0
91,6164,4.0
92,1445,1.0
93,23065,0.0
94,22853,7.0
95,16114,0.0
96,23982,0.0
97,9289,4.0
98,22633,0.0
99,15597,0.0
100,20071,0.0
101,11698,0.0
102,23633,0.0
103,1671,0.0
104,15686,0.0
105,23099,3.0
106,12762,5.0
107,23918,0.0
108,18344,3.0
109,26284,0.0
110,26884,5.0
111,24700,0.0
112,13984,0.0
113,10981,7.0
114,14677,0.0
115,28289,0.0
116,23919,0.0
117,742,0.0
118,21007,5.0
119,18467,7.0
120,10385,2.0
121,12353,1.0
122,22463,0.0
123,14643,0.0
124,18511,2.0
125,17935,2.0
126,21686,0.0
127,23426,6.0
128,8298,0.0
129,23737,0.0
130,10979,7.0
131,27376,7.0
132,2418,0.0
133,24333,0.0
134,19463,5.0
135,25613,2.0
136,18327,1.0
137,16631,0.0
138,26131,0.0
139,13476,0.0
140,17532,0.0
141,5556,0.0
142,15160,0.0
143,21457,2.0
144,6066,2.0
145,28100,3.0
146,1299,0.0
147,23094,2.0
148,11419,4.0
149,4500,0.0
150,19707,0.0
151,3267,1.0
152,20485,5.0
153,8392,0.0
154,20427,0.0
155,16564,3.0
156,13661,2.0
157,27733,0.0
158,15041,0.0
159,12054,0.0
160,8881,3.0
161,3750,0.0
162,16066,3.0
163,8505,5.0
164,18355,4.0
165,1714,3.0
166,27798,3.0
167,20334,0.0
168,3307,3.0
169,11449,0.0
170,20754,3.0
171,5131,1.0
172,23634,2.0
173,27979,8.0
174,3201,2.0
175,27758,7.0
176,4171,4.0
177,12754,0.0
178,11620,3.0
179,12629,0.0
180,11094,5.0
181,18669,0.0
182,18119,2.0
183,19003,0.0
184,24139,0.0
185,11005,0.0
186,27824,5.0
187,20469,3.0
188,464,0.0
189,3534,1.0
190,27327,0.0
191,14355,2.0
192,21400,0.0
193,9307,4.0
194,380,3.0
195,13263,0.0
196,18068,0.0
197,16772,2.0
198,2751,2.0
199,27159,2.0
200,4330,0.0
201,20948,0.0
202,24111,0.0
203,14596,0.0
204,24619,0.0
205,23601,2.0
206,6014,5.0
207,14168,2.0
208,2697,0.0
209,16481,1.0
210,8372,0.0
211,23133,5.0
212,13808,6.0
213,3516,1.0
214,23441,0.0
215,9142,0.0
216,20124,9.0
217,18111,0.0
218,2410,1.0
219,2993,3.0
220,5711,6.0
221,7053,0.0
222,20655,0.0
223,17100,0.0
224,12266,1.0
225,7440,4.0
226,6029,4.0
227,12667,0.0
228,2388,0.0
229,21515,0.0
230,23356,4.0
231,26359,0.0
232,22032,0.0
233,1935,0.0
234,19484,7.0
235,6535,2.0
236,26121,5.0
237,16023,5.0
238,8939,0.0
239,25741,1.0
240,16953,0.0
241,15217,0.0
242,5255,0.0
243,19418,5.0
244,14999,0.0
245,19371,0.0
246,16650,0.0
247,9406,5.0
248,941,0.0
249,7068,5.0
250,18232,4.0
251,4007,0.0
252,19070,2.0
253,13107,0.0
254,26241,0.0
255,8903,0.0
256,2066,0.0
257,25108,0.0
258,10512,2.0
259,14695,1.0
260,20968,5.0
261,2255,0.0
262,13697,0.0
263,8715,0.0
264,22014,2.0
265,1247,3.0
266,11190,2.0
267,2640,4.0
268,12914,0.0
269,2425,0.0
270,12687,0.0
271,10378,0.0
272,864,2.0
273,23360,0.0
274,19104,0.0
275,4508,2.0
276,434,4.0
277,22755,5.0
278,24823,0.0
279,23307,1.0
280,22612,0.0
281,335,1.0
282,16744,0.0
283,2482,0.0
284,1477,1.0
285,28484,0.0
286,26126,0.0
287,13830,0.0
288,27684,0.0
289,11644,2.0
290,23048,1.0
291,3425,4.0
292,19549,2.0
293,26741,8.0
294,5048,1.0
295,2829,0.0
296,4914,0.0
297,27019,0.0
298,23912,0.0
299,21132,1.0
300,17754,1.0
301,8695,0.0
302,5493,0.0
303,15987,0.0
304,3654,3.0
305,22110,3.0
306,7086,3.0
307,285,0.0
308,12250,1.0
309,22626,4.0
310,15218,4.0
311,28359,4.0
312,26319,0.0
313,25389,2.0
314,15358,3.0
315,13456,5.0
316,7508,2.0
317,19750,0.0
318,21297,0.0
319,3821,1.0
320,11916,0.0
321,15222,2.0
322,3393,0.0
323,26072,0.0
324,4735,0.0
325,5440,4.0
326,6068,0.0
327,7713,2.0
328,27654,1.0
329,26612,2.0
330,25411,6.0
331,13675,0.0
332,14906,2.0
333,9616,0.0
334,27312,0.0
335,1309,0.0
336,25350,0.0
337,18960,4.0
338,14543,1.0
339,17357,0.0
340,21608,5.0
341,27698,0.0
342,5780,4.0
343,7556,3.0
344,23905,2.0
345,22108,0.0
346,27026,7.0
347,11778,7.0
348,28043,5.0
349,11550,0.0
350,11952,0.0
351,15849,0.0
352,2230,1.0
353,18466,0.0
354,19139,4.0
355,16794,0.0
356,25515,5.0
357,17721,0.0
358,25679,3.0
359,8241,2.0
360,14028,0.0
361,25915,6.0
362,14334,0.0
363,6734,0.0
364,20299,0.0
365,468,8.0
366,12478,5.0
367,19505,3.0
368,12775,0.0
369,6534,4.0
370,27530,4.0
371,18202,0.0
